Station Code,Water Quality,Locations,State/ UT Name,TEMPERATURE (degree Centigrade)-Minimum,TEMPERATURE (degree Centigrade)-Maximum,TEMPERATURE (degree Centigrade)-Mean,Dissolved Oxygen(D.O.) (mg/l)-Minimum,Dissolved Oxygen(D.O.) (mg/l)-Maximum,Dissolved Oxygen(D.O.) (mg/l)-Mean,pH-Minimum,pH-Maximum,pH-Mean,CONDUCTIVITY (µmhos/cm)-Minimum,CONDUCTIVITY (µmhos/cm)-Maximum,CONDUCTIVITY (µmhos/cm)-Mean,Biochemical oxygen demand (B.O.D.) (mg/l)-Minimum,Biochemical oxygen demand (B.O.D.) (mg/l)-Maximum,Biochemical oxygen demand (B.O.D.) (mg/l)-Mean,NITRATE- N (mg/l)-Minimum,NITRATE- N (mg/l)-Maximum,NITRATE- N (mg/l)-Mean,NITRITE-N (mg/l)-Minimum,NITRITE-N (mg/l)-Maximum,NITRITE-N (mg/l)-Mean,FECAL COLIFORM (MPN/100ml)-Minimum,FECAL COLIFORM (MPN/100ml)-Maximum,FECAL COLIFORM (MPN/100ml)-Mean,TOTAL COLIFORM (MPN/100ml)-Minimum,TOTAL COLIFORM (MPN/100ml)-Maximum,TOTAL COLIFORM (MPN/100ml)-Mean
15,GROUND WATER QUALITY OF Andhra Pradesh,WELL AT KUYYURA- A.P.,Andhra Pradesh,22,28,25,NA,NA,NA,6.9,7.3,7.1,164,191,178,0.5,0.5,0.5,0.1,0.4,0.3,0.1,0.1,0.1,1,2,2,16,260,138
16,GROUND WATER QUALITY OF Andhra Pradesh,WELL AT TADAVAI A.P.,Andhra Pradesh,22,26,24,NA,NA,NA,6.7,7.2,7,755,1039,897,0.4,1.2,0.8,1.3,7,4.2,0.1,0.1,0.1,1,2,2,8,20,14
26,GROUND WATER QUALITY OF Andhra Pradesh,WELL AT VIJAYWADA- A.P.,Andhra Pradesh,30,30,30,NA,NA,NA,7.4,7.4,7.4,1101,1101,1101,0.8,0.8,0.8,1.8,1.8,1.8,0.1,0.1,0.1,2,2,2,1100,1100,1100
27,GROUND WATER QUALITY OF Andhra Pradesh,WELL AT PEDDAVOORA- A.P.,Andhra Pradesh,22,22,22,NA,NA,NA,7.9,8,8,543,769,656,NA,NA,NA,1.5,1.5,1.5,NA,NA,NA,2,2,2,50,50,50
1791,GROUND WATER QUALITY OF Andhra Pradesh,B/W.- EAST OF SAICHERUVU-PAIDIPALLY (V)-WARANGAL DIST.,Andhra Pradesh,20,25,23,NA,NA,NA,7,7.1,7.1,900,1463,1182,0.3,0.3,0.3,9,12,10.5,0.1,0.1,0.1,2,40,21,24,800,412
1792,GROUND WATER QUALITY OF Andhra Pradesh,B/W -NEAR CKM COLLEGE -ENUMAMULA (V) -WARANGAL DIST.,Andhra Pradesh,20,25,23,NA,NA,NA,6.9,7,7,1778,3750,2764,0.3,0.5,0.4,8.4,10,9.2,0.1,0.1,0.1,1,2,2,2,78,40
1793,GROUND WATER QUALITY OF Andhra Pradesh,O/W - BHOOMAIAH NEAR ASHPONDSOF NTPC - KUNDANPALLY (V) - RAMAGUNDAM - KARIMNAGAR- A.P,Andhra Pradesh,20,28,24,NA,NA,NA,7.1,7.4,7.3,1350,1918,1634,0.4,0.5,0.45,2.7,6.1,4.4,0.1,0.1,0.1,2,2,2,60,104,82
1794,GROUND WATER QUALITY OF Andhra Pradesh,B/W - MANAKONDUR (V) - KARIMNAGAR DIST.- A.P,Andhra Pradesh,20,28,24,NA,NA,NA,7.1,7.4,7.3,778,800,789,0.2,0.5,0.35,8,8,8,0.1,0.1,0.1,2,2,2,20,24,22
1525,GROUND WATER QUALITY OF Andhra Pradesh,B/W - IDA - NEAR CHAITANYA CHLORIDES -PASHAMAYLAM - MEDAK,Andhra Pradesh,22,22,22,NA,NA,NA,7.4,7.7,7.6,645,1791,1218,NA,NA,NA,0.4,2.1,1.3,0.1,0.1,0.1,NA,NA,NA,NA,NA,NA
1811,GROUND WATER QUALITY OF Andhra Pradesh,B/W.- PRIMARY SCHOOL -RUDRAVELLI (V) - BIBINAGAR (M)- NALGONDA DIST.- A.P,Andhra Pradesh,21,21,21,NA,NA,NA,7.6,7.6,7.6,1211,1853,1532,NA,NA,NA,0.6,0.7,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
1810,GROUND WATER QUALITY OF Andhra Pradesh,B/W - SRI RAMNAGAR COLONY- SAKKAR NAGAR- BODHAN- NIZAMABAD DIST.- A.P,Andhra Pradesh,22,28,25,NA,NA,NA,7.2,8.1,7.6,1108,1352,1197,NA,NA,NA,2.3,4.4,3.3,0.5,0.5,0.5,2,2,2,70,70,70
1513,GROUND WATER QUALITY OF Andhra Pradesh,B W.- KRISHNA MURTHY- D.NO.48-16-43 AUTONAGAR VIJJAYAWADA- KRISNA DIST.- A.P.,Andhra Pradesh,30,30,30,NA,NA,NA,7.5,7.5,7.5,1128,1128,1128,1,1,1,1.8,1.8,1.8,0.1,0.1,0.1,2,2,2,1100,1100,1100
1514,GROUND WATER QUALITY OF Andhra Pradesh,B/W.- VIJAY KUMAR AUTONAGARVIJAYAWADA- KRISHNA DIST.,Andhra Pradesh,30,30,30,NA,NA,NA,7.3,7.4,7.4,1287,1653,1470,0.8,0.8,0.8,1.7,20.7,11.2,0.1,0.1,0.1,2,2,2,1100,1100,1100
1515,GROUND WATER QUALITY OF Andhra Pradesh,B/W.- NAGARAM(V)- PALVONCHA- KHAMMAM DIST.- A.P.,Andhra Pradesh,25,29,27,NA,NA,NA,7.3,7.8,7.6,1684,2360,1925,1.4,3.6,2.2,0.3,17.3,9,0.1,0.1,0.1,2,4,2,800,1100,1040
1516,GROUND WATER QUALITY OF Andhra Pradesh,B W OF NAVLOK GARDENS NELLORE,Andhra Pradesh,29,32,31,NA,NA,NA,6.7,7.6,7.2,1241,2840,2041,1.8,4.2,3,0.6,11.5,6.1,0.1,0.1,0.1,2,2,2,1100,1100,1100
1517,GROUND WATER QUALITY OF Andhra Pradesh,B/W.- TUNGBHADRA RIVER NEAR KURNOOL- A.P.,Andhra Pradesh,24,26,25,NA,NA,NA,7.3,7.6,7.4,1492,1895,1650,1.3,2,1.6,2.6,14.5,7.4,0.1,0.1,0.1,2,4,3,4,14,11
1518,GROUND WATER QUALITY OF Andhra Pradesh,B/W.- NANDYAL- KURNOOL DIST.- A.P.,Andhra Pradesh,24,26,25,NA,NA,NA,7.4,7.9,7.7,1440,3840,2079,1,1.8,1.4,2.9,13.5,5.8,0.1,0.1,0.1,2,6,4,6,21,13
1519,GROUND WATER QUALITY OF Andhra Pradesh,B/W.- NAGIRI- CHITTOOR DIST.- A.P,Andhra Pradesh,19,26,25,NA,NA,NA,7.3,7.9,7.6,1063,2440,1784,1,2.4,1.6,0.4,25.3,7.9,0.1,0.1,0.1,2,110,16,6,1700,220
1520,GROUND WATER QUALITY OF Andhra Pradesh,B/W.- SWARNAMUKHI RIVER-SRIKALAHASTI- CHITTOOR DIST.,Andhra Pradesh,20,25,23,NA,NA,NA,7.6,8.3,7.8,625,1555,1160,1,3.2,2.1,0.4,13.8,6.4,0.1,0.1,0.1,2,140,38,6,1100,284
1521,GROUND WATER QUALITY OF Andhra Pradesh,O/W.- NEAR RAMA TEMPLE - WARD No.2 - MINDI - VISAKHAPATNAM- A.P,Andhra Pradesh,28,29,28,NA,NA,NA,7,7.4,7.2,3900,4700,4300,1,1.1,1.1,37.2,55.5,46.4,0.1,0.1,0.1,3,3,3,460,1100,780
1522,GROUND WATER QUALITY OF Andhra Pradesh,O/W.PEDDANUYYI - VIZIANAGARAM,Andhra Pradesh,28,35,31,NA,NA,NA,7.6,7.9,7.8,217,699,458,1,1,1,2.4,4.4,3.4,0.1,0.1,0.1,0,4,2,240,1100,670
1523,GROUND WATER QUALITY OF Andhra Pradesh,B/W.- NEAR M/S ANDHRA SUGARS LTD.- KOVVUR - W.G.DIST.,Andhra Pradesh,27,29,28,NA,NA,NA,7.8,7.8,7.8,212,213,213,1,1,1,0.3,0.6,0.5,NA,NA,NA,0,0,0,3,3,3
1524,GROUND WATER QUALITY OF Andhra Pradesh,O/W.-NEAR PARTAP NAGAR BRIIDGE -KAKINADA - E.G.DIST.- A.P,Andhra Pradesh,26,29,27,NA,NA,NA,7,7.9,7.5,2160,2640,2400,0.8,1,0.9,6.2,17.2,11.7,0.1,0.1,0.1,0,0,0,3,3,3
1533,GROUND WATER QUALITY OF Assam,DIGBOI- TINSUKIA DISTT.- Assam,Assam,25,29,27,NA,NA,NA,7,7.1,7.1,130,148,139,0.3,1,0.7,0.1,0.1,0.1,NA,NA,NA,0,0,0,1,1,1
1534,GROUND WATER QUALITY OF Assam,KARBI ANGLONG DISTT.- Assam,Assam,24,26,25,NA,NA,NA,6.7,6.9,6.8,315,334,325,1.8,3.5,2.7,0.1,0.1,0.1,NA,NA,NA,0,0,0,360,360,360
1535,GROUND WATER QUALITY OF Assam,SIBSAGAR - Assam,Assam,22,24,23,NA,NA,NA,5.9,6.6,6.3,220,239,230,1.8,4.8,3.3,0.1,0.1,0.1,NA,NA,NA,0,0,0,1,360,181
1536,GROUND WATER QUALITY OF Assam,SIBSAGAR- Assam,Assam,24,24,24,NA,NA,NA,6.2,6.2,6.2,280,280,280,5.6,5.6,5.6,0.1,0.1,0.1,NA,NA,NA,0,0,0,1,1,1
1537,GROUND WATER QUALITY OF Assam,(JORHAT- Assam,Assam,20,22,21,NA,NA,NA,6.4,6.9,6.7,145,154,150,2,2,2,0.2,0.3,0.25,NA,NA,NA,0,0,0,1,300,151
1538,GROUND WATER QUALITY OF Assam,SILCHAR- Assam,Assam,12,13,12,NA,NA,NA,5.2,5.8,5.5,102,114,108,0.8,4.9,2.9,0.1,5.2,2.65,NA,NA,NA,0,0,0,360,910,635
1539,GROUND WATER QUALITY OF Assam,BARPETA- Assam,Assam,27,28,27,NA,NA,NA,7.1,7.9,7.5,510,578,544,0.4,2.6,1.5,0.1,0.8,0.45,NA,NA,NA,0,360,180,1,2800,1401
1540,GROUND WATER QUALITY OF Assam,BONAIGAON- Assam,Assam,25,28,27,NA,NA,NA,6.1,7.1,6.6,295,304,300,1.2,1.7,1.5,5.1,11.8,8.45,NA,NA,NA,0,0,0,1,360,181
1541,GROUND WATER QUALITY OF Assam,GUWAHATI- Assam,Assam,20,27,24,NA,NA,NA,7.2,7.8,7.5,141,758,450,2.1,3.7,2.9,0.2,0.3,0.25,NA,NA,NA,0,0,0,1,1,1
1542,GROUND WATER QUALITY OF Assam,GUWAHATI- Assam,Assam,22,27,25,NA,NA,NA,6.8,6.8,6.8,850,1001,926,0.9,3,2,0.2,2.9,1.55,NA,NA,NA,0,0,0,360,360,360
2243,GROUND WATER QUALITY OF Assam,GROUND WATER FROM LEDO-MARGHERITA,Assam,18,26,22,NA,NA,NA,6,6.1,6.1,350,351,351,0.8,1,0.9,0.3,1.4,0.85,NA,NA,NA,0,0,0,1,1,1
2244,GROUND WATER QUALITY OF Assam,GROUND WATER FROM NAZIRA,Assam,21,24,23,NA,NA,NA,6.5,7.2,6.9,290,310,300,1.6,3,2.3,0.1,0.1,0.1,NA,NA,NA,0,0,0,1,300,151
2245,GROUND WATER QUALITY OF Assam,GROUND WATER FROM NUMALIGARH(NEAR NRL TE LABOR COLONY),Assam,20,20,20,NA,NA,NA,6.6,6.6,6.6,126,126,126,0.6,0.6,0.6,0.4,0.4,0.4,NA,NA,NA,0,0,0,1,1,1
2246,GROUND WATER QUALITY OF Assam,GROUND WATER FROMSEMENCHAPARI,Assam,17,23,20,NA,NA,NA,6.9,7.4,7.2,424,467,446,1.1,2.1,1.6,0.2,0.2,0.2,NA,NA,NA,0,0,0,1,1,1
2247,GROUND WATER QUALITY OF Assam,GROUND WATER FROM SILAPATHAR,Assam,17,23,20,NA,NA,NA,6.5,6.7,6.6,111,121,116,0.4,4.6,2.5,0.1,0.1,0.1,NA,NA,NA,0,0,0,1,1,1
