S.No.,State/ UT Name,2013 - Cases,2013 - Deaths,2014 - Cases,2014 - Deaths,2015 - Cases,2015 - Deaths
1,Andhra Pradesh,910,1,1262,5,3159,2
2,Arunachal Pradesh,0,0,27,0,1933,1
3,Assam,4526,2,85,0,1076,1
4,Bihar,1246,5,297,0,1771,0
5,Chhattisgarh,83,2,440,9,384,1
6,Goa,198,2,168,1,293,0
7,Gujarat,6272,15,2320,3,5590,9
8,Haryana,1784,5,214,2,9921,13
9,Himachal Pradesh,89,2,2,0,19,1
10,Jammu & Kashmir,1837,3,1,0,153,0
11,Jharkhand,161,0,36,0,102,0
12,Karnataka,6408,12,3358,2,5077,9
14,Madhya Pradesh,1255,9,2131,13,2108,8
15,Meghalaya,43,0,0,0,13,0
16,Maharashtra,5610,48,8573,54,4936,23
17,Manipur,9,0,0,0,52,0
18,Mizoram,7,0,19,0,43,0
19,Nagaland,0,0,0,0,21,1
20,Odisha,7132,6,6433,9,2450,2
21,Punjab,4117,25,472,8,14128,18
22,Rajasthan,4413,10,1243,7,4043,7
23,Sikkim,38,0,5,0,21,0
24,Tamil Nadu,6122,0,2804,3,4535,12
25,Tripura,8,0,6,0,40,0
26,Telangana,0,0,704,1,1831,2
27,Uttar Pradesh,1414,5,200,0,2892,9
28,Uttarakhand,54,0,106,0,1655,1
29,West Bengal,5920,6,3934,4,8516,14
30,A & N Island,67,0,139,0,153,0
31,Chandigarh,107,0,13,0,966,1
32,Delhi,5574,6,995,3,15867,60
33,Dadra & Nagar Haveli,190,0,641,1,1154,0
34,Daman & Diu,61,0,46,0,165,0
TOTAL,TOTAL,75808,193,40571,137,99913,220
