Sl. No.,State/ UT Name,2013 - Cases,2013 - Deaths,2014 - Cases,2014 - Deaths,2015 (Prov.) - Cases,2015 (Prov.) - Deaths
1,Andhra Pradesh,256458,6,186446,5,131657,0
2,Arunachal Pradesh,7359,4,4512,3,3563,10
3,Assam,6521,0,5328,29,10049,0
4,Bihar,261791,2,283679,4,251818,1
5,Chhattisgarh,27457,2,32617,1,47838,1
6,Goa,355,0,573,0,1603,1
7,Gujarat,22962,1,29505,0,35362,1
8,Haryana,27115,0,29990,1,31559,0
9,Himachal Pradesh,37128,2,48786,6,40630,6
10,Jammu & Kashmir,70859,0,57537,1,52359,0
11,Jharkhand,24806,7,36663,7,26333,4
12,Karnataka,61485,9,92959,1,85376,1
13,Kerala,4325,3,2269,0,2860,0
14,Madhya Pradesh,114578,28,155190,25,124244,8
15,Maharashtra,81458,1,102299,0,128839,0
16,Manipur,10927,17,10636,10,5422,0
17,Meghalaya,9134,1,10395,8,3665,0
18,Mizoram,2765,3,2758,4,2804,0
19,Nagaland,12736,0,11604,0,5701,0
20,Odisha,60337,56,90363,39,80658,38
21,Punjab,35136,5,34651,1,34867,3
22,Rajasthan,65331,5,83540,4,68323,0
23,Sikkim,186,0,716,0,174,0
24,Tamil Nadu,31440,1,29937,0,41125,0
26,Tripura,12849,1,10553,0,4022,1
27,Uttarakhand,25956,0,28939,14,32034,10
28,Uttar Pradesh,224748,161,225829,203,280746,217
29,West Bengal,108695,39,90086,42,107949,24
30,Andaman & Nicobar Islands,1501,3,881,0,803,0
31,Chandigarh,3251,0,6021,0,12447,52
32,Dadra & Nagar Haveli,4323,0,2439,0,1406,0
33,Daman & Diu,888,0,167,0,158,0
34,Delhi,32691,29,27339,14,24069,15
35,Lakshadweep,3,0,3,0,29,0
36,Puducherry,2591,1,1477,3,1738,0
Total,Total,1650145,387,1736687,425,1845977,393
